ID_T,ID_C_T,RANK_T,PRIZE_T,LATITUDE_T,LONGITUDE_T,TYPE_T_1,TYPE_T_2,TYPE_T_3,TYPE_T_4,TYPE_T_5,TYPE_T_6
93,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
94,4,2,2406.941653260699,51.3,-0.1,0,0,0,1,0,0
95,3,2,2406.941653260699,39.57,-75.1,0,0,1,0,0,0
96,4,2,2406.941653260699,51.55,4.29,0,0,0,1,0,0
97,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
98,4,2,2406.941653260699,55.4,12.35,0,0,0,1,0,0
99,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
100,1,3,2406.941653260699,25.42,-80.1,1,0,0,0,0,0
101,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
102,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
103,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
104,1,2,2406.941653260699,22.17,114.09,1,0,0,0,0,0
105,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
106,1,2,2406.941653260699,35.42,139.46,1,0,0,0,0,0
107,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
108,2,2,2406.941653260699,28.32,-81.23,0,1,0,0,0,0
109,2,2,2406.941653260699,33.45,-84.23,0,1,0,0,0,0
110,2,2,2406.941653260699,48.08,11.34,0,1,0,0,0,0
111,2,2,2406.941653260699,50.05,14.26,0,1,0,0,0,0
112,2,2,2406.941653260699,26.16,-80.15,0,1,0,0,0,0
113,2,3,2406.941653260699,53.33,9.59,0,1,0,0,0,0
114,2,3,2406.941653260699,41.54,12.29,0,1,0,0,0,0
115,2,2,2406.941653260699,48.12,15.37,0,1,0,0,0,0
117,2,4,2406.941653260699,48.52,2.2,0,1,0,0,0,0
118,2,2,2406.941653260699,44.29,11.2,0,1,0,0,0,0
119,5,2,2406.941653260699,51.59,9.33,0,0,0,0,1,0
120,5,2,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
121,5,2,2406.941653260699,52.58,-1.1,0,0,0,0,1,0
122,5,2,2406.941653260699,51.42,5.19,0,0,0,0,1,0
123,5,4,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
124,2,2,2406.941653260699,56.26,12.51,0,1,0,0,0,0
125,2,2,2406.941653260699,46.28,7.17,0,1,0,0,0,0
126,5,2,2406.941653260699,41.29,-71.19,0,0,0,0,1,0
127,2,2,2406.941653260699,48.46,9.11,0,1,0,0,0,0
128,1,2,2406.941653260699,38.54,-77.02,1,0,0,0,0,0
129,2,2,2406.941653260699,47.27,12.23,0,1,0,0,0,0
130,1,2,2406.941653260699,34.03,-118.15,1,0,0,0,0,0
131,2,2,2406.941653260699,45.25,13.32,0,1,0,0,0,0
